iteration,input_fuse_test,output_fuse_result
484,1,2.99127
485,0,2.00528
485,1,2.92876
486,0,2.02751
486,1,3.07097
487,0,2.01965
487,1,2.91197
488,0,2.00723
488,1,2.92626
489,0,2.04549
489,1,3.00576
490,0,2.04584
490,1,2.98165
491,0,1.95435
491,1,3.06084
492,0,1.98667
492,1,3.04596
493,0,2.01981
493,1,3.00326
494,0,1.93657
494,1,3.00385
495,0,1.99291
495,1,2.9321
496,0,1.99747
496,1,3.05597
497,0,2.01646
497,1,3.07428
498,0,2.039
498,1,2.93899
499,0,1.99692
499,1,3.00703
500,0,1.92467
500,1,2.98559
501,0,1.94016
501,1,3.00358
