iteration,fuseTest,fuseResult
1265,1,4093.85
1267,0,56.1159
1267,1,4091.34
1269,0,54.7466
1269,1,4092.75
1271,0,55.0101
1271,1,4092.43
1273,0,54.1061
1273,1,4091.97
1275,0,54.0279
1275,1,4093.44
1277,0,56.1679
1277,1,4093.22
1279,0,52.2129
1279,1,4091.98
1281,0,54.1379
1281,1,4093.38
1283,0,54.925
1283,1,4092.76
1285,0,53.949
1285,1,4091.67
1287,0,53.9191
1287,1,4092.1
1289,0,52.3186
1289,1,4092.69
1291,0,53.1969
1291,1,4092.02
1293,0,55.599
1293,1,4091.99
1295,0,53.6611
1295,1,4091.26
1297,0,53.2866
1297,1,4092.46
1299,0,54.2067
1299,1,4092.13
1301,0,55.6989
1301,1,4091.96
1303,0,52.9288
1303,1,4091.05
1305,0,53.367
1305,1,4094.72
1307,0,54.029
1307,1,4091.89
1309,0,56.0806
1309,1,4091.99
1311,0,53.7281
1311,1,4092.2
1313,0,53.4686
1313,1,4092.02
1315,0,54.2865
1315,1,4093.56
1317,0,53.8886
1317,1,4091.96
1319,0,51.6943
1319,1,4092.48
1321,0,53.0266
1321,1,4092.38
1323,0,54.5078
1323,1,4092.02
1325,0,54.2361
1325,1,4092.7
1327,0,52.584
1327,1,4091.42
1329,0,53.9899
1329,1,4092.04
1331,0,54.0029
1331,1,4091.48
1333,0,54.6304
1333,1,4091.5
1335,0,53.9252
1335,1,4094.52
1337,0,54.8003
1337,1,4092.39
1339,0,56.9915
1339,1,4091.29
1341,0,53.524
1341,1,4091.85
1343,0,55.3073
1343,1,4091.6
1345,0,53.7528
1345,1,4092.61
1347,0,53.6431
1347,1,4092.16
1349,0,55.4624
1349,1,4093.99
1351,0,55.322
1351,1,4092.01
1353,0,54.0011
1353,1,4093.42
1355,0,54.2007
1355,1,4091.98
1357,0,55.1539
1357,1,4092.79
1359,0,55.149
1359,1,4092.68
1361,0,53.6093
1361,1,4092.73
1363,0,52.8293
1363,1,4094.48
1365,0,54.2308
1365,1,4092.6
1367,0,51.1833
1367,1,4092.56
1369,0,54.5355
1369,1,4094.24
1371,0,54.0047
1371,1,4092.5
1373,0,53.6755
1373,1,4091.9
1375,0,54.4809
1375,1,4092.11
1377,0,55.1267
1377,1,4093.69
1379,0,53.3673
1379,1,4093.21
1381,0,54.4437
1381,1,4091.56
1383,0,53.9768
1383,1,4092.47
1385,0,53.3994
1385,1,4092.49
1387,0,55.6185
1387,1,4092.03
1389,0,54.9723
1389,1,4094.48
1391,0,52.1588
1391,1,4094.75
1393,0,53.9996
1393,1,4091.33
1395,0,53.015
1395,1,4092.35
1397,0,56.8189
1397,1,4091.68
1399,0,52.7153
1399,1,4093.89
1401,0,54.1243
