iteration,silhouetteCluster1,silhouetteCluster2,numPointsCluster1,numPointsCluster2,overallSilhouette
643,0.999658,0.999718,50,50,0.999688
645,0.999644,0.999704,50,50,0.999674
647,0.999645,0.999702,50,50,0.999674
649,0.999642,0.999692,50,50,0.999667
651,0.99965,0.999689,50,50,0.99967
653,0.999648,0.999689,50,50,0.999669
655,0.999657,0.999696,50,50,0.999677
657,0.999657,0.999701,50,50,0.999679
659,0.99966,0.999702,50,50,0.999681
661,0.999659,0.999711,50,50,0.999685
663,0.999649,0.999709,50,50,0.999679
665,0.99965,0.999715,50,50,0.999682
667,0.99965,0.999715,50,50,0.999682
669,0.999647,0.999714,50,50,0.999681
671,0.999654,0.999714,50,50,0.999684
673,0.999655,0.999723,50,50,0.999689
675,0.999652,0.999722,50,50,0.999687
677,0.999658,0.999721,50,50,0.99969
679,0.999646,0.999733,50,50,0.999689
681,0.999646,0.999739,50,50,0.999692
683,0.99965,0.999739,50,50,0.999695
685,0.99965,0.999737,50,50,0.999693
687,0.99964,0.999733,50,50,0.999686
689,0.999655,0.999731,50,50,0.999693
691,0.999648,0.999735,50,50,0.999692
693,0.999652,0.999727,50,50,0.999689
695,0.99965,0.99973,50,50,0.99969
697,0.999649,0.999719,50,50,0.999684
699,0.999649,0.999721,50,50,0.999685
701,0.999642,0.999722,50,50,0.999682
703,0.999642,0.999718,50,50,0.99968
705,0.999645,0.999734,50,50,0.99969
707,0.999646,0.999724,50,50,0.999685
709,0.999662,0.999716,50,50,0.999689
711,0.999662,0.999721,50,50,0.999691
713,0.999645,0.999718,50,50,0.999681
715,0.999649,0.999718,50,50,0.999683
717,0.999649,0.999717,50,50,0.999683
719,0.999658,0.999715,50,50,0.999687
721,0.999669,0.999716,50,50,0.999692
723,0.999667,0.999722,50,50,0.999694
725,0.999666,0.999716,50,50,0.999691
727,0.999678,0.999722,50,50,0.9997
729,0.999686,0.999716,50,50,0.999701
731,0.999685,0.999714,50,50,0.9997
733,0.999677,0.999719,50,50,0.999698
735,0.999693,0.999718,50,50,0.999706
737,0.999692,0.999722,50,50,0.999707
739,0.999697,0.999714,50,50,0.999705
741,0.999697,0.999705,50,50,0.999701
743,0.999695,0.999708,50,50,0.999701
745,0.999703,0.999714,50,50,0.999709
747,0.999703,0.999709,50,50,0.999706
749,0.999701,0.99972,50,50,0.99971
751,0.999695,0.999726,50,50,0.99971
753,0.999696,0.999711,50,50,0.999703
755,0.999688,0.999708,50,50,0.999698
757,0.999691,0.99971,50,50,0.999701
759,0.999693,0.99971,50,50,0.999702
761,0.999688,0.99971,50,50,0.999699
763,0.999698,0.999709,50,50,0.999703
765,0.999699,0.999709,50,50,0.999704
767,0.999682,0.999708,50,50,0.999695
769,0.999686,0.999709,50,50,0.999697
771,0.999668,0.999708,50,50,0.999688
773,0.999667,0.999708,50,50,0.999688
775,0.99967,0.999706,50,50,0.999688
777,0.999675,0.999708,50,50,0.999691
779,0.999693,0.999707,50,50,0.9997
781,0.999695,0.999701,50,50,0.999698
783,0.999693,0.999702,50,50,0.999697
785,0.999693,0.999702,50,50,0.999697
787,0.999705,0.999709,50,50,0.999707
789,0.999705,0.99971,50,50,0.999707
791,0.99969,0.999709,50,50,0.9997
793,0.999676,0.999716,50,50,0.999696
795,0.999683,0.999716,50,50,0.9997
797,0.999683,0.999725,50,50,0.999704
799,0.999683,0.999722,50,50,0.999702
801,0.999683,0.999726,50,50,0.999705
803,0.999682,0.999728,50,50,0.999705
805,0.999676,0.999726,50,50,0.999701
807,0.999676,0.999724,50,50,0.9997
809,0.999675,0.999726,50,50,0.999701
811,0.999676,0.999723,50,50,0.999699
813,0.999687,0.999729,50,50,0.999708
815,0.999692,0.999722,50,50,0.999707
817,0.999698,0.999719,50,50,0.999708
819,0.999695,0.999723,50,50,0.999709
821,0.999675,0.999719,50,50,0.999697
823,0.999678,0.999721,50,50,0.9997
825,0.999684,0.999723,50,50,0.999703
827,0.999677,0.999716,50,50,0.999697
829,0.999677,0.999714,50,50,0.999696
831,0.999682,0.999716,50,50,0.999699
833,0.999684,0.999715,50,50,0.9997
835,0.999674,0.99972,50,50,0.999697
837,0.999674,0.999718,50,50,0.999696
839,0.999676,0.99971,50,50,0.999693
841,0.999667,0.99971,50,50,0.999689
843,0.999673,0.999709,50,50,0.999691
845,0.999676,0.999715,50,50,0.999695
847,0.999676,0.999718,50,50,0.999697
849,0.999677,0.999712,50,50,0.999694
851,0.999682,0.999715,50,50,0.999699
853,0.999669,0.999729,50,50,0.999699
855,0.999678,0.999731,50,50,0.999705
857,0.999678,0.99973,50,50,0.999704
859,0.999679,0.999731,50,50,0.999705
861,0.999686,0.999721,50,50,0.999703
863,0.999684,0.999725,50,50,0.999705
865,0.999683,0.999725,50,50,0.999704
867,0.9997,0.999722,50,50,0.999711
869,0.999684,0.999722,50,50,0.999703
871,0.999699,0.999722,50,50,0.99971
873,0.9997,0.999717,50,50,0.999709
875,0.999698,0.99972,50,50,0.999709
877,0.999708,0.999716,50,50,0.999712
879,0.999701,0.999705,50,50,0.999703
881,0.99969,0.999717,50,50,0.999703
883,0.999692,0.999713,50,50,0.999702
885,0.999694,0.999711,50,50,0.999703
887,0.999697,0.999696,50,50,0.999697
889,0.999697,0.999697,50,50,0.999697
891,0.999709,0.999693,50,50,0.999701
893,0.999721,0.99969,50,50,0.999706
895,0.99972,0.99969,50,50,0.999705
897,0.999718,0.99969,50,50,0.999704
899,0.999717,0.999688,50,50,0.999703
901,0.99972,0.999686,50,50,0.999703
903,0.999721,0.999685,50,50,0.999703
905,0.999726,0.999684,50,50,0.999705
907,0.999726,0.999687,50,50,0.999707
909,0.999725,0.999692,50,50,0.999708
911,0.999722,0.999693,50,50,0.999707
913,0.999724,0.999693,50,50,0.999708
915,0.999708,0.999687,50,50,0.999698
917,0.999708,0.999692,50,50,0.9997
919,0.999703,0.999685,50,50,0.999694
921,0.999722,0.999682,50,50,0.999702
923,0.999721,0.999686,50,50,0.999704
925,0.999722,0.999685,50,50,0.999704
927,0.999733,0.999692,50,50,0.999712
929,0.999715,0.999696,50,50,0.999705
931,0.999708,0.999695,50,50,0.999702
