iteration,failureOccurred,failureCaught,numberOfFailedComponents,failedComponentsList,unsafeFailureGenerated,outsideScopeFailureGenerated,detectableFailureGenerated,impactlessFailureGenerated
17084,True,False,1,[K_Sys],False,False,False,True
17085,True,False,1,[K_Sys],False,False,False,True
17086,True,False,1,[K_Sys],False,False,False,True
17087,True,False,1,[K_Sys],False,False,False,True
17088,True,False,1,[K_Sys],False,False,False,True
17089,True,False,1,[K_Sys],False,False,False,True
17090,True,False,1,[K_Sys],False,False,False,True
17091,True,False,1,[K_Sys],False,False,False,True
17092,True,False,1,[K_Sys],False,False,False,True
17093,True,False,1,[K_Sys],False,False,False,True
17094,True,False,1,[K_Sys],False,False,False,True
17095,True,False,1,[K_Sys],False,False,False,True
17096,True,False,1,[K_Sys],False,False,False,True
17097,True,False,1,[K_Sys],False,False,False,True
17098,True,False,1,[K_Sys],False,False,False,True
17099,True,False,1,[K_Sys],False,False,False,True
17100,True,False,1,[K_Sys],False,False,False,True
17101,True,False,1,[K_Sys],False,False,False,True
17102,True,False,1,[K_Sys],False,False,False,True
17103,True,False,1,[K_Sys],False,False,False,True
17104,True,False,1,[K_Sys],False,False,False,True
17105,True,False,1,[K_Sys],False,False,False,True
17106,True,False,1,[K_Sys],False,False,False,True
17107,True,False,1,[K_Sys],False,False,False,True
17108,True,False,1,[K_Sys],False,False,False,True
17109,True,False,1,[K_Sys],False,False,False,True
17110,True,False,1,[K_Sys],False,False,False,True
17111,True,False,1,[K_Sys],False,False,False,True
17112,True,False,1,[K_Sys],False,False,False,True
17113,True,False,1,[K_Sys],False,False,False,True
17114,True,False,1,[K_Sys],False,False,False,True
17115,True,False,1,[K_Sys],False,False,False,True
17116,True,False,1,[K_Sys],False,False,False,True
17117,True,False,1,[K_Sys],False,False,False,True
17118,True,False,1,[K_Sys],False,False,False,True
17119,True,False,1,[K_Sys],False,False,False,True
17120,True,False,1,[K_Sys],False,False,False,True
17121,True,False,1,[K_Sys],False,False,False,True
17122,True,False,1,[K_Sys],False,False,False,True
17123,True,False,1,[K_Sys],False,False,False,True
17124,True,False,1,[K_Sys],False,False,False,True
17125,True,False,1,[K_Sys],False,False,False,True
17126,True,False,1,[K_Sys],False,False,False,True
